"train/global_step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a64x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a32x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a16x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a8x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a4x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_a2x - eval/dev_wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - _step","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - _step__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - _step__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/wer__MAX","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/dev_wer","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/dev_wer__MIN","facebook/voxpopuli_en_split-train_wav2vec2-bart_bs96_lr0.0001_ep6.0_noa - eval/dev_wer__MAX"
"1000","101","101","101","0.5844445700079105","0.5844445700079105","0.5844445700079105","","","","101","101","101","0.4673126906995141","0.4673126906995141","0.4673126906995141","","","","101","101","101","0.2546050401175274","0.2546050401175274","0.2546050401175274","","","","101","101","101","0.23838851847666404","0.23838851847666404","0.23838851847666404","","","","101","101","101","0.27076505819866653","0.27076505819866653","0.27076505819866653","","","","101","101","101","0.24336083173239914","0.24336083173239914","0.24336083173239914","","","","101","101","101","0.30619279014577916","0.30619279014577916","0.30619279014577916","","",""
"2000","203","203","203","0.250423776697932","0.250423776697932","0.250423776697932","","","","203","203","203","0.18304328172674877","0.18304328172674877","0.18304328172674877","","","","203","203","203","0.15442422872640976","0.15442422872640976","0.15442422872640976","","","","203","203","203","0.1486891174143971","0.1486891174143971","0.1486891174143971","","","","203","203","203","0.15151429540061023","0.15151429540061023","0.15151429540061023","","","","203","203","203","0.14623121256639168","0.14623121256639168","0.14623121256639168","","","","203","203","203","0.15199457565826646","0.15199457565826646","0.15199457565826646","","",""
"3000","305","305","305","0.16612046558933213","0.16612046558933213","0.16612046558933213","","","","305","305","305","0.1410328850717595","0.1410328850717595","0.1410328850717595","","","","305","305","305","0.13148378347835912","0.13148378347835912","0.13148378347835912","","","","305","305","305","0.12659622556221042","0.12659622556221042","0.12659622556221042","","","","305","305","305","0.128658605492146","0.128658605492146","0.128658605492146","","","","305","305","305","0.1292801446491129","0.1292801446491129","0.1292801446491129","","","","305","305","305","0.13074923720194373","0.13074923720194373","0.13074923720194373","","",""
"4000","407","407","407","0.1438863148378348","0.1438863148378348","0.1438863148378348","","","","407","407","407","0.1291953893095265","0.1291953893095265","0.1291953893095265","","","","407","407","407","0.12091761780992202","0.12091761780992202","0.12091761780992202","","","","407","407","407","0.12086111425019776","0.12086111425019776","0.12086111425019776","","","","407","407","407","0.11930726635778054","0.11930726635778054","0.11930726635778054","","","","407","407","407","0.12012656797378235","0.12012656797378235","0.12012656797378235","","","","407","407","407","0.12176517120578596","0.12176517120578596","0.12176517120578596","","",""
"5000","509","509","509","0.1319075601762911","0.1319075601762911","0.1319075601762911","","","","509","509","509","0.1211718838286812","0.1211718838286812","0.1211718838286812","","","","509","509","509","0.1179229291445361","0.1179229291445361","0.1179229291445361","","","","509","509","509","0.11645383659170527","0.11645383659170527","0.11645383659170527","","","","509","509","509","0.11583229743473838","0.11583229743473838","0.11583229743473838","","","","509","509","509","0.11860097186122726","0.11860097186122726","0.11860097186122726","","","","509","509","509","0.11419369420273477","0.11419369420273477","0.11419369420273477","","",""
"6000","611","611","611","0.12439258673296417","0.12439258673296417","0.12439258673296417","","","","611","611","611","0.11653859193129167","0.11653859193129167","0.11653859193129167","","","","611","611","611","0.1111425019776246","0.1111425019776246","0.1111425019776246","","","","611","611","611","0.10755452593513391","0.10755452593513391","0.10755452593513391","","","","611","611","611","0.11176404113459149","0.11176404113459149","0.11176404113459149","","","","611","611","611","0.11258334275059328","0.11258334275059328","0.11258334275059328","","","","611","611","611","0.11009718612272573","0.11009718612272573","0.11009718612272573","","",""
"7000","713","713","713","0.11786642558481185","0.11786642558481185","0.11786642558481185","","","","713","713","713","0.1114250197762459","0.1114250197762459","0.1114250197762459","","","","713","713","713","0.10679172787885637","0.10679172787885637","0.10679172787885637","","","","713","713","713","0.10481410328850718","0.10481410328850718","0.10481410328850718","","","","713","713","713","0.10786529551361736","0.10786529551361736","0.10786529551361736","","","","713","713","713","0.10775228839416884","0.10775228839416884","0.10775228839416884","","","","713","713","713","0.1074415188156854","0.1074415188156854","0.1074415188156854","","",""
"8000","815","815","815","0.1166515990507402","0.1166515990507402","0.1166515990507402","","","","815","815","815","0.11077522883941689","0.11077522883941689","0.11077522883941689","","","","815","815","815","0.10642445474064866","0.10642445474064866","0.10642445474064866","","","","815","815","815","0.10543564244547407","0.10543564244547407","0.10543564244547407","","","","815","815","815","0.10617018872188948","0.10617018872188948","0.10617018872188948","","","","815","815","815","0.10453158548988586","0.10453158548988586","0.10453158548988586","","","","815","815","815","0.10602892982257882","0.10602892982257882","0.10602892982257882","","",""
"9000","917","917","917","0.1143914566617697","0.1143914566617697","0.1143914566617697","","","","917","917","917","0.10698949033789129","0.10698949033789129","0.10698949033789129","","","","917","917","917","0.10359927675443553","0.10359927675443553","0.10359927675443553","","","","917","917","917","0.10342976607526275","0.10342976607526275","0.10342976607526275","","","","917","917","917","0.10391004633291898","0.10391004633291898","0.10391004633291898","","","","917","917","917","0.10427731947112669","0.10427731947112669","0.10427731947112669","","","","917","917","917","0.10436207481071308","0.10436207481071308","0.10436207481071308","","",""
"10000","1019","1019","1019","0.1134026443665951","0.1134026443665951","0.1134026443665951","","","","1019","1019","1019","0.10535088710588768","0.10535088710588768","0.10535088710588768","","","","1019","1019","1019","0.10413606057181603","0.10413606057181603","0.10413606057181603","","","","1019","1019","1019","0.1031189964967793","0.1031189964967793","0.1031189964967793","","","","1019","1019","1019","0.10292123403774438","0.10292123403774438","0.10292123403774438","","","","1019","1019","1019","0.10371228387388405","0.10371228387388405","0.10371228387388405","","","","1019","1019","1019","0.10405130523222964","0.10405130523222964","0.10405130523222964","","",""
"10446","1066","1066","1066","","","","0.11213131427279918","0.11213131427279918","0.11213131427279918","1066","1066","1066","","","","0.10577466380381964","0.10577466380381964","0.10577466380381964","1066","1066","1066","","","","0.10263871623912306","0.10263871623912306","0.10263871623912306","1066","1066","1066","","","","0.1029494858176065","0.1029494858176065","0.1029494858176065","1066","1066","1066","","","","0.10314724827664143","0.10314724827664143","0.10314724827664143","1066","1066","1066","","","","0.10297773759746864","0.10297773759746864","0.10297773759746864","1066","1066","1066","","","","0.1043903265905752","0.1043903265905752","0.1043903265905752"